text	to_user_id	from_user	id	from_user_id	iso_language_code	source	profile_image_url	geo_type	geo_coordinates_0	geo_coordinates_1	created_at	time
rt @amiethekid: kvaellens avsnitt av raseriet hittar du haer: https://t.co/wd1zzmeopy eller daer du vanligtvis lyssnar paa poddar &lt;3 #bokmaessan…		ornellanizii	780663045701955584	701149297	sv	<a href="http://twitter.com" rel="nofollow">twitter web client</a>	http://abs.twimg.com/images/themes/theme1/bg.png		0	0	tue sep 27 06:59:08 +0000 2016	1474959548
maranatafoersamlingens monter paa bokmaessan vandaliserad https://t.co/vplx4lem9v  #maranata  #bokmaessan		strrawbuz	780658066073198592	163765933	sv	<a href="http://twitter.com" rel="nofollow">twitter web client</a>	http://pbs.twimg.com/profile_background_images/451808941920378880/ffxyt0ui.jpeg		0	0	tue sep 27 06:39:21 +0000 2016	1474958361
idrotten blev en trygg zon under en jobbig tonaarstid: carolina klüft om sin bok. @dagensnyheter gaest paa #bokmaessan https://t.co/scqzukltmj		birgittajekblom	780655458407383040	72873310	sv	<a href="http://twitter.com/download/iphone" rel="nofollow">twitter for iphone</a>	http://abs.twimg.com/images/themes/theme1/bg.png		0	0	tue sep 27 06:28:59 +0000 2016	1474957739
tillbakablick paa #bokmaessan #goeteborg del 1 https://t.co/k8bebvrtlz https://t.co/nuz7jom6ve		kimmkimselius	780654308002062336	65428329	sv	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">tweetdeck</a>	http://pbs.twimg.com/profile_background_images/444830913902292992/cpz1v9-v.jpeg		0	0	tue sep 27 06:24:25 +0000 2016	1474957465
rt @flamman_: aha, vilken tid aer demon? hm, den krockar med mina nyponarrangemang. https://t.co/vburj8kyxp #bokmaessan #svpol		annaherdy	780654122076962816	111971247	sv	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">tweetdeck</a>	http://abs.twimg.com/images/themes/theme17/bg.gif		0	0	tue sep 27 06:23:41 +0000 2016	1474957421
aha, vilken tid aer demon? hm, den krockar med mina nyponarrangemang. https://t.co/vburj8kyxp #bokmaessan #svpol		flamman_	780651417182830592	115388535	sv	<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">tweetdeck</a>	http://pbs.twimg.com/profile_background_images/76337453/nnnn.jpg		0	0	tue sep 27 06:12:56 +0000 2016	1474956776
rt @mariabennet2000: tack lisa bjurwald - rakryggat och otroligt viktigt! https://t.co/lrbj5wfspq #bokmaessan #bokmaessan2016 #lisabjurwald h…		lisabjurwald	780651392298020864	316443131	sv	<a href="http://twitter.com/download/android" rel="nofollow">twitter for android</a>	http://abs.twimg.com/images/themes/theme4/bg.gif		0	0	tue sep 27 06:12:50 +0000 2016	1474956770
rt @mvasara: haer aer den gardell ni borde laesa #bokmaessan https://t.co/9qeq0qdthw		mikaelvasara3	780644263784812544	3790274487	sv	<a href="http://twitter.com" rel="nofollow">twitter web client</a>	http://abs.twimg.com/images/themes/theme1/bg.png		0	0	tue sep 27 05:44:30 +0000 2016	1474955070
boksmaellan aer paataglig. men hellre boksmaella aen baksmaella, som de gamla grekerna sa. right? #bokmaessan		fny_g	780638593157136384	272016039	sv	<a href="http://twitter.com/download/android" rel="nofollow">twitter for android</a>	http://pbs.twimg.com/profile_background_images/402474973/111122.jpg		0	0	tue sep 27 05:21:58 +0000 2016	1474953718
tack lisa bjurwald - rakryggat och otroligt viktigt! https://t.co/lrbj5wfspq #bokmaessan #bokmaessan2016 #lisabjurwald https://t.co/kdmqay5hgm		mariabennet2000	780633967741591552	35309299	sv	<a href="http://twitter.com/download/iphone" rel="nofollow">twitter for iphone</a>	http://abs.twimg.com/images/themes/theme1/bg.png		0	0	tue sep 27 05:03:36 +0000 2016	1474952616
vad haende med alla "je suis charlie" hjaeltar?  #svpol #bokmaessan https://t.co/ejd16zprpj		gamlasverige1	780607584155860992	560277414	sv	<a href="http://twitter.com/download/iphone" rel="nofollow">twitter for iphone</a>	http://abs.twimg.com/images/themes/theme1/bg.png		0	0	tue sep 27 03:18:45 +0000 2016	1474946325
#bokmaessan 2 fy fan vad jag hatar soc https://t.co/y2ay3qgexe https://t.co/lkazcjukgb		bengtoswin	780606089179959296	80274644	sv	<a href="http://publicize.wp.com/" rel="nofollow">wordpress.com</a>	http://abs.twimg.com/images/themes/theme15/bg.png		0	0	tue sep 27 03:12:49 +0000 2016	1474945969
rt @mxcartoons: satir fraan bonniers paa #bokmaessan: “vi aelskar det fria ordet”  https://t.co/4uhzd6syuk  #svpol https://t.co/ocgqf0maye		ravyn_strange	780595326797373440	251791929	sv	<a href="http://twitter.com" rel="nofollow">twitter web client</a>	http://abs.twimg.com/images/themes/theme9/bg.gif		0	0	tue sep 27 02:30:03 +0000 2016	1474943403
#bokmaessan snurrar i huvudet. kan inte sova. tittar paa foton. trulsa doek upp. https://t.co/ewva0qnnfu		kimmkimselius	780580803076091904	65428329	sv	<a href="http://twitter.com/download/android" rel="nofollow">twitter for android</a>	http://pbs.twimg.com/profile_background_images/444830913902292992/cpz1v9-v.jpeg		0	0	tue sep 27 01:32:20 +0000 2016	1474939940
rt @amiethekid: kvaellens avsnitt av raseriet hittar du haer: https://t.co/wd1zzmeopy eller daer du vanligtvis lyssnar paa poddar &lt;3 #bokmaessan…		linnolauson	780557297319866368	19389443	sv	<a href="http://twitter.com/download/iphone" rel="nofollow">twitter for iphone</a>	http://pbs.twimg.com/profile_background_images/11695169/maskros.png		0	0	mon sep 26 23:58:56 +0000 2016	1474934336
rt @naste2_mot: vi var inte bara utanfoer #bokmaessan i loerdags vi hade aeven ett team av journalister paa insidan! https://t.co/1nq825egot		ingenatervando	780540008939806721	3973073734	sv	<a href="http://twitter.com" rel="nofollow">twitter web client</a>	http://abs.twimg.com/images/themes/theme1/bg.png		0	0	mon sep 26 22:50:14 +0000 2016	1474930214
